label,support_pos,support_neg,ap,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,specificity,lr_plus,tp,fp,fn,tn
juicy,10,1062,0.05608307557727718,0.7645009416195856,0.13333333333333333,0.2,0.1,0.9878731343283582,0.5481167608286198,0.13577550461673402,0.9962335216572497,26.549999992942563,1,4,9,1058
lactonic,13,1059,0.4036188922674399,0.9487179487179487,0.5,0.42105263157894735,0.6153846153846154,0.9850746268656716,0.8024987288443137,0.5018595811486837,0.9896128423040595,59.24475523904197,8,11,5,1048
leafy,27,1045,0.1800012207705844,0.835725677830941,0.2857142857142857,0.3181818181818182,0.25925925925925924,0.9673507462686567,0.6224525961368015,0.2706649562735715,0.9856459330143532,18.06172839380169,7,15,20,1030
leathery,11,1061,0.23317608142318982,0.9101190986205123,0.34782608695652173,0.3333333333333333,0.36363636363636365,0.9860074626865671,0.6780481535429528,0.3410970384542057,0.992459943449575,48.227272720866615,4,8,7,1053
lemon,16,1056,0.25690263247646855,0.8850615530303031,0.3829787234042553,0.2903225806451613,0.5625,0.9729477611940298,0.7708333333333154,0.3919384306549056,0.9791666666666659,26.999999998701263,9,22,7,1034
lily,14,1058,0.20740646371417487,0.822238725357818,0.27586206896551724,0.26666666666666666,0.2857142857142857,0.980410447761194,0.6376586551444668,0.26610758066629836,0.9896030245746683,27.480519477872075,4,11,10,1047
meaty,60,1012,0.5533669028374946,0.9254611330698287,0.5641025641025641,0.5789473684210527,0.55,0.9524253731343284,0.7631422924901134,0.5391580353174935,0.9762845849802362,23.191666665687414,33,24,27,988
medicinal,14,1058,0.0991243875294718,0.8586956521739131,0.2222222222222222,0.18181818181818182,0.2857142857142857,0.9738805970149254,0.6343505266000434,0.2151643076719495,0.9829867674858215,16.793650792661687,4,18,10,1040
melon,26,1046,0.3424715515989495,0.8822620973672599,0.3333333333333333,0.6,0.23076923076923078,0.9776119402985075,0.6134725694955092,0.3631709840276435,0.9961759082217965,60.34615383035753,6,4,20,1042
metallic,26,1046,0.13333025205067367,0.7365053684365348,0.23255813953488372,0.29411764705882354,0.19230769230769232,0.9692164179104478,0.590417708486538,0.22268210481172585,0.9885277246653911,16.7628205113574,5,12,21,1034
milky,17,1055,0.0987404523793796,0.7697797602453303,0.2222222222222222,0.17857142857142858,0.29411764705882354,0.9673507462686567,0.6361583495957535,0.21330237925603446,0.9781990521327005,13.491048592730213,5,23,12,1032
mint,45,1027,0.5923688276196113,0.9031483284647842,0.6,0.6857142857142857,0.5333333333333333,0.9701492537313433,0.761311262577079,0.58973404804059,0.9892891918208365,49.7939393892853,24,11,21,1016
muguet,11,1061,0.23891103411495113,0.9607574329534744,0.3125,0.23809523809523808,0.45454545454545453,0.9794776119402985,0.7197326707222821,0.3195712189103422,0.9849198868991509,30.142045452542206,5,16,6,1045
mushroom,20,1052,0.3564099459357159,0.9057034220532318,0.35294117647058826,0.42857142857142855,0.3,0.9794776119402985,0.6461977186311708,0.3484870205419836,0.9923954372623566,39.44999999480598,6,8,14,1044
musk,19,1053,0.5035458593180612,0.8611985804968261,0.5625,0.6923076923076923,0.47368421052631576,0.9869402985074627,0.7349427700304765,0.5664523859261347,0.996201329534662,124.6973683881912,9,4,10,1049
musty,39,1033,0.1230295905192426,0.6885099411720903,0.20202020202020202,0.16666666666666666,0.2564102564102564,0.9263059701492538,0.6040037729292291,0.16943209190224046,0.9515972894482083,5.297435897326231,10,50,29,983
natural,15,1057,0.06184339655603287,0.7522548092084516,0.16,0.2,0.13333333333333333,0.980410447761194,0.5628823714916381,0.15366670266941754,0.9924314096499518,17.616666664335806,2,8,13,1049
nutty,72,1000,0.5094494113667585,0.8798888888888888,0.5314685314685315,0.5352112676056338,0.5277777777777778,0.9375,0.7473888888888847,0.49800100684828363,0.966999999999999,15.99326599278063,38,33,34,967
oily,76,996,0.37940680603100924,0.8086688860705982,0.42168674698795183,0.3888888888888889,0.4605263157894737,0.9104477611940298,0.702652716127665,0.375095532247139,0.9447791164658624,8.339712918508999,35,55,41,941
onion,35,1037,0.5544731194921104,0.9765532442485191,0.58,0.4461538461538462,0.8285714285714286,0.960820895522388,0.8969279515084599,0.5911445163253506,0.965284474445515,23.867460316771506,29,36,6,1001
orange,20,1052,0.1822348660070973,0.8385456273764258,0.32,0.26666666666666666,0.4,0.9682835820895522,0.689543726235731,0.3110053004278149,0.979087452471482,19.12727272635632,8,22,12,1030
orris,11,1061,0.14003024546070494,0.8401165281466884,0.32,0.2857142857142857,0.36363636363636365,0.9841417910447762,0.6771056464741498,0.31441958205357956,0.990574929311969,38.5818181777177,4,10,7,1051
peach,18,1054,0.23539549305984692,0.8840923466160658,0.36363636363636365,0.4,0.3333333333333333,0.980410447761194,0.662397216951287,0.3552892054844348,0.9914611005692591,39.03703703245911,6,9,12,1045
pear,26,1046,0.2934683327128321,0.9334460950139727,0.3191489361702128,0.22058823529411764,0.5769230769230769,0.9402985074626866,0.7631269304309343,0.3321440665328301,0.9493307839388138,11.38606676319993,15,53,11,993
phenolic,36,1036,0.560944681776285,0.8917578292578293,0.6031746031746031,0.7037037037037037,0.5277777777777778,0.976679104477612,0.7600278850278772,0.5979171632535073,0.9922779922779914,68.34722221336163,19,8,17,1028
pine,15,1057,0.430086574609601,0.9451907915484075,0.5806451612903226,0.5625,0.6,0.9878731343283582,0.7966887417218339,0.5748072472255148,0.9933774834437078,90.59999998630227,9,7,6,1050
pineapple,40,1032,0.5128409546228323,0.9381540697674418,0.5434782608695652,0.4807692307692308,0.625,0.960820895522388,0.7994186046511546,0.5282954428382931,0.9738372093023248,23.888888887974453,25,27,15,1005
plum,11,1061,0.05225546191503718,0.8521120726587268,0.07692307692307693,0.06666666666666667,0.09090909090909091,0.9776119402985075,0.5388569959729198,0.06667609080104094,0.9868049010367569,6.8896103890871645,1,14,10,1047
potato,11,1061,0.35725061010801895,0.9405363722046097,0.4166666666666667,0.38461538461538464,0.45454545454545453,0.9869402985074627,0.7235026989974941,0.4115732554330853,0.992459943449575,60.284090901083275,5,8,6,1053
powdery,32,1040,0.1378680332288427,0.816376201923077,0.23684210526315788,0.20454545454545456,0.28125,0.9458955223880597,0.6237980769230721,0.21237953095412643,0.966346153846153,8.35714285689405,9,35,23,1005
pungent,39,1033,0.3610713747843705,0.875667088639015,0.3835616438356164,0.4117647058823529,0.358974358974359,0.9580223880597015,0.6698066373768162,0.36285155328554297,0.9806389157792827,18.54102564006667,14,20,25,1013
radish,11,1061,0.27259635184869435,0.8569102904635421,0.3076923076923077,1.0,0.18181818181818182,0.9916044776119403,0.5909090909090822,0.4246043688052398,0.9999999999999991,inf,2,0,9,1061
ripe,17,1055,0.1145509258426607,0.8699749093950377,0.23376623376623376,0.15,0.5294117647058824,0.9449626865671642,0.7405352662391811,0.2614529608959477,0.951658767772511,10.951557093198227,9,51,8,1004
roasted,60,1012,0.7100244881675544,0.9566699604743083,0.639344262295082,0.6290322580645161,0.65,0.9589552238805971,0.8136363636363577,0.6176831516467225,0.9772727272727263,28.599999998739893,39,23,21,989
rose,63,1009,0.3927467529787329,0.8854122422011421,0.4247787610619469,0.48,0.38095238095238093,0.9393656716417911,0.6775921468686548,0.3961495443976188,0.9742319127849346,14.783882783308256,24,26,39,983
rummy,17,1055,0.20912670062126684,0.8526902704209646,0.3018867924528302,0.2222222222222222,0.47058823529411764,0.9654850746268657,0.7220239754669497,0.3079281783313304,0.9734597156398096,17.73109243630511,8,28,9,1027
savory,25,1047,0.19150386462970262,0.9100668576886342,0.28865979381443296,0.19444444444444445,0.56,0.9356343283582089,0.75230181470868,0.30424781422899677,0.9446036294173822,10.108965517058342,14,58,11,989
sharp,20,1052,0.07031073980711001,0.717490494296578,0.15789473684210525,0.16666666666666666,0.15,0.9701492537313433,0.5678707224334559,0.14294822839570925,0.9857414448669193,10.519999999261028,3,15,17,1037
